ID,TYPE,BRAND_PRIMARYNAME,CATEGORY_SUBNAME,CODE,PRODUCTNAME,PACKSIZENAME,QTY,MRP
C5AF2DE8-9F3D-4237-85C9-9C3594A44716,RM,Raw Material,ALUMINIUM BLADE,RMABAF230MM,ALLUMINIUM BLADE AIR FLOW 230MM,PCS,1000,120
90F65538-606B-49B8-8C5C-FBD6EE7F3C90,RM,Raw Material,Aluminium Blade,RMABAF300MM,ALUMINIUM BLADE AIR FLOW 300MM,PCS,0,0
77C41C13-B532-46BA-B451-2B8FA14891CD,RM,Raw Material,ALUMINIUM BLADE,RMABFF500MM,BLADE FARRATA 500MM,PCS,0,0
A39B488F-9947-4D87-9C8E-7150E8C8086F,RM,Raw Material,Aluminium Cover,RMACBCP/F,ALUMINIUM BACK COVER  POWER FLOW  DIE CASTING,PCS,0,0
85730BA8-D6E7-447C-AE8F-5FEF93F17F0C,RM,Raw Material,Aluminium Cover,RMACBCTPW,ALUMINIUM BACK COVER TPW DIE CASTING,PCS,0,0
494B7C66-BB02-4D78-BF58-8F337F0AA5B0,RM,Raw Material,Aluminium Cover,RMACFCP/F,ALUMINIUM FRONT COVER POWER FLOW DIE CASTING,PCS,0,0
1C3F3AFB-4AFD-4475-849B-63F915D1A2A7,RM,Raw Material,Aluminium Cover,RMACFCTPW,ALUMINIUM FRONT COVER TPW DIE CASTING,PCS,0,0
0C37A8EE-3BB9-4F38-82D9-30257F950FB2,RM,Raw Material,Aluminium Cover,RMACFC15MM,FRONT COVER POWER FLOW 15MM,PCS,0,0
9E3267E9-261F-413E-9E82-9480503EE038,RM,Raw Material,Aluminium Cover,RMACFC00,FRONT COVER POWER FLOW 19MM,PCS,0,0
3EBB9792-AE44-4382-B7F9-C0CC450B08CE,RM,Raw Material,Aluminium Cover,RMACFC000,FRONT COVER POWER FLOW 25MM,PCS,0,0
6AE5BF05-1D6C-47C6-855A-A5F643C00A5F,RM,Raw Material,Aluminium Hub,RMAH150MM,ALUMINIUM HUB 150MM,PCS,0,0
589F44D2-4E13-48B9-BE90-71295ECDA23A,RM,Raw Material,Aluminium Hub,RMAH230MM,ALUMINIUM HUB 230MM,PCS,0,0
3D7FB0B5-9047-4DF3-A3A3-E69C95D0CDA9,RM,Raw Material,Aluminium Hub,RMAH300MM,ALUMINIUM HUB 300MM,PCS,0,0
EDA6AC74-830E-4682-9611-7B812D5DFE14,RM,Raw Material,Aluminium Ingot,RMAIINGOT,ALUMINIUN INGOT,KG,0,0
B371494A-D359-427A-A0EE-947CD07D884B,JW,Job Work,Back Cover Plated,JWBCP00,CRCA BACK COVER CHINA PLATED,PCS,0,0
33FF20ED-C5E6-4572-96A7-826B0C70AECE,RM,Raw Material,Back Cowl,RMBCWCF00,BACK COWL CABIN FAN,PCS,0,0
10A297DB-F815-4989-B67B-75B0B8400835,RM,Raw Material,Bakelite Washer,RMBW00,WASHER BAKELITE,PCS,0,0
F1F04C4B-B227-4B6C-B4DE-48F3F044FF36,RM,Raw Material,Bakelite Washer,RMBWFF00,WASHER BAKELITE FARRATA,PCS,0,0
287423EA-0E0B-4926-8355-3F8A6F0C5104,RM,Raw Material,Ball Bearing,RMBB6201 V2,BALL BEARING 6201 V2,PCS,0,0
3BBA2AD9-E902-4B0A-A42D-8697986D096B,RM,Raw Material,Beading,RMBEDS00,DS BEADING,PCS,0,0
01C8011D-FDD2-4B91-A867-67F989861B3C,RM,Raw Material,Beading,RMBEHADSPSMG00,FRAME BEADING HAVELLS DSP FAN,KG,0,0
AB32AE17-F4A8-46CF-BCF0-F320B1D9F5EB,RM,Raw Material,Blade Balancing Sticker,RMBBS0.6GM,BLADE BALANCING STICKER  0.6 GM,PCS,0,0
EA49E183-5C5A-4736-9A7E-A7BAEC3EFA0A,RM,Raw Material,Blade Bush,RMBLB5X8X20,BLADE BUSH 5 X8 X20,PCS,0,0
81BEE6F6-B0B1-4420-8969-4E8B8D7820ED,RM,Raw Material,Blade Nut,RMBNWH00,BLADE NUT WHITE TPW,PCS,0,0
640B7380-FC6E-4066-BEDC-DAE52FD5DB7A,RM,Raw Material,Brass Nut,RMBRN2BA,NUT INSERT SMALL BIRDIE ROCKER,PCS,0,0
F75AE398-0B19-4F86-AC8F-A7E79C2296EF,RM,Raw Material,Brass Nut,RMBRNM8,NUT M8 BRASS (MOULDING),PCS,0,0
122EF3A6-EBAB-40BE-9810-89EEE874483D,RM,Raw Material,Brass Thimble,RMBT4.8X0.8,BRASS FEMALE THIMBLE (TERMINAL) 4.8X0.8MM,METER,0,0
6730FAEB-73E4-4468-8F05-8D0EC483F89D,RM,Raw Material,Brass Thimble,RMBT0.55MM,BRASS THIMBLE (TERMINAL) EYE LETT 0.55MM,METER,0,0
83AFF114-B47E-4556-AE4D-C0A4D58A80CE,RM,Raw Material,Bush,RMBU0118,BUSH 0118,PCS,0,0
0DF650E6-594C-42E8-9CA2-61CFA9B26381,RM,Raw Material,Bush,RMBU0176,BUSH 0176,PCS,0,0
B8AD6E02-A84F-4E8E-9D26-126E7C6AA45D,RM,Raw Material,Bush,RMBU0228,BUSH 0228,PCS,0,0
61B27C1E-5759-47AA-9A45-9CBA172BE770,RM,Raw Material,Bush,RMBU0255,BUSH 0255,PCS,0,0
AB53D6D0-A20D-4F9A-8548-AE38C0CC145E,RM,Raw Material,Bush Cap,RMBUCFF00,BUSH CAP (FARRATA),PCS,0,0
ADFD4B56-91DB-4D4E-8190-02A5BCD42A57,RM,Raw Material,Bush Cap,RMBUCMS,BUSH CAP (WASHER) MS,PCS,0,0
A137D5D5-CEF9-4FB9-93CF-DE44F10CEF41,PM,Packaging Materials,C Box,PMCBANANIN150MM,ANCHOR C-BOX ANMOL 150MM INNER 1X1,PCS,0,0
DB674956-565B-4552-96A9-B5A019F9ACB9,PM,Packaging Materials,C Box,PMCBANANOU150MM,ANCHOR C-BOX ANMOL 150MM OUTER  6X1,PCS,0,0
C845C2A5-9E6C-4E54-B598-E1E62F0D91A5,PM,Packaging Materials,C Box,PMCBANANIN230MM,ANCHOR C-BOX ANMOL 230MM INNER 1X1,PCS,0,0
2C2A0122-ED4D-4285-B5EE-6D035DA8859C,PM,Packaging Materials,C Box,PMCBANANOU230MM,ANCHOR C-BOX ANMOL 230MM OUTER 4X1,PCS,0,0
33B9E573-E936-4C3B-B510-62E509980CFE,PM,Packaging Materials,C Box,PMCBANANIN300MM,ANCHOR C-BOX ANMOL 300MM INNER 1X1,PCS,0,0
D86C8998-E5ED-4572-A354-E12A792AA663,PM,Packaging Materials,C Box,PMCBANANOU300MM,ANCHOR C-BOX ANMOL 300MM OUTER 4X1,PCS,0,0
A06500B7-1ED4-4029-ADA9-9979BEE9A6A7,PM,Packaging Materials,C Box,PMCBANDBBIN230MM,ANCHOR C-BOX ANMOL DLX (DBB) 230MM INNER 1X1,PCS,0,0
111B23BB-D917-48A1-B0C7-500A569C6DB2,PM,Packaging Materials,C Box,PMCBANDBBOU230MM,ANCHOR C-BOX ANMOL DLX (DBB) 230MM OUTER 4X1,PCS,0,0
04D1E495-A159-4F15-97E3-65A9F30E2D22,PM,Packaging Materials,C Box,PMCBANDBBIN300MM,ANCHOR C-BOX ANMOL DLX (DBB) 300MM INNER 1X1,PCS,0,0
4DBA51C4-877B-4AF9-B4FF-BF5246AB6E95,PM,Packaging Materials,C Box,PMCBANDBBOU300MM,ANCHOR C-BOX ANMOL DLX (DBB) 300MM OUTER 4X1,PCS,0,0
51545049-B32D-4334-A28E-5D5C4B0BCB1B,PM,Packaging Materials,C Box,PMCBANCFIN300MM,ANCHOR C-BOX CABIN FAN 300MM INNER 1X1,PCS,0,0
C4260E9C-938E-47C7-8089-0B2FEAE75350,PM,Packaging Materials,C Box,PMCBANCFOU300MM,ANCHOR C-BOX CABIN FAN 300MM OUTER 4X1,PCS,0,0
67DD27E7-CFB8-48ED-B469-31A62591F4F6,PM,Packaging Materials,C Box,PMCBANFFIN500MM,ANCHOR C-BOX FARATA 500MM  INNER 1X1,PCS,0,0
49A18F4C-905A-4BA8-B2B8-E31684B4069A,PM,Packaging Materials,C Box,PMCBANFF500MM,ANCHOR C-BOX FARATA FAN ACCESSORIES PACKING 500MM (1X1),PCS,0,0
A1EED68A-AC8C-49A2-9328-F8079B043F4D,PM,Packaging Materials,C Box,PMCBANHVEIN150MM,ANCHOR C-BOX HI SPEED SMART AIR VENTILATOR 150MM INNER 1X1,PCS,0,0
F4F39119-7490-4C69-AA2E-15224FBE8049,PM,Packaging Materials,C Box,PMCBANHVEOU150MM,ANCHOR C-BOX HI-SPEED SMART AIR VENTILATOR 150MM OUTER 6X1,PCS,0,0
4B39CB02-A27F-4861-AB00-F9BA306E514F,PM,Packaging Materials,C Box,PMCBANHVEIN200MM,ANCHOR C-BOX HI-SPEED SMART AIR VENTILATOR 200MM INNER 1X1,PCS,0,0
8EFB620A-4E9F-4E92-BE8A-EA9753BA693C,PM,Packaging Materials,C Box,PMCBANHVEOU200MM,ANCHOR C-BOX HI-SPEED SMART AIR VENTILATOR 200MM OUTER 4X1,PCS,0,0
4D58278A-69B3-4156-A24D-B304014E4BD9,PM,Packaging Materials,C Box,PMCBANMIIN230MM,ANCHOR C-BOX MINEO 230MM INNER 1X1,PCS,0,0
4EE14169-D3D6-49D9-82F7-24A74A26CB4A,PM,Packaging Materials,C Box,PMCBANMIOU230MM,ANCHOR C-BOX MINEO 230MM OUTER 4X1,PCS,0,0
B98717F7-E520-453A-9777-57C84CBC5233,PM,Packaging Materials,C Box,PMCBANVENIN150MM,ANCHOR C-BOX SMART AIR VENTILATOR 150MM INNER 1X1,PCS,0,0
6E709D10-D44B-4FDB-8378-23404EF15D65,PM,Packaging Materials,C Box,PMCBANVENOU150MM,ANCHOR C-BOX SMART AIR VENTILATOR 150MM OUTER 6X1,PCS,0,0
09E5D290-DFE3-4BED-A1E8-CB131B8C9CCF,PM,Packaging Materials,C Box,PMCBANVENIN200MM,ANCHOR C-BOX SMART AIR VENTILATOR 200MM INNER1X1,PCS,0,0
8AFD1451-057F-4FD0-BDCB-16F76AB384F4,PM,Packaging Materials,C Box,PMCBANVENOU300MM,ANCHOR C-BOX SMART AIR VENTILATOR 200MM OUTER 4X1,PCS,0,0
7B50A0FC-7C0D-4657-B142-45EFAD349B80,PM,Packaging Materials,C Box,PMCBANVENIN250MM,ANCHOR C-BOX SMART AIR VENTILATOR 250MM INNER 1X1,PCS,0,0
E758977E-937B-45FE-8C4F-9EE22B502167,PM,Packaging Materials,C Box,PMCBANVENOU250MM,ANCHOR C-BOX SMART AIR VENTILATOR 250MM OUTER 4X1,PCS,0,0
9387C81B-C4E4-48C6-9BF3-605BCDBB899C,PM,Packaging Materials,C Box,PMCBGF150MM,C-BOX GLASS FAN 150MM  INNER 1X1,PCS,0,0
F61AFA1F-A786-47EC-AD64-9A70842DA08E,PM,Packaging Materials,C Box,PMCBGF150MM1X4,C-BOX GLASS FAN 150MM INNER 1X4,PCS,0,0
8D8FBAE5-4072-45EE-AE4E-DEB483377E10,PM,Packaging Materials,C Box,PMCB225MM,CORNER 225MM EXHAUST FAN- HI SPEED,PCS,0,0
D589FC52-5275-4246-9873-11FF8FFEE261,PM,Packaging Materials,C Box,PMCBLUWAF400S,CORNER 400MM KRAZE - SMALL FITMENT,PCS,0,0
2E4ABA0A-2E7D-4255-BE1E-A1D5D4BD862B,PM,Packaging Materials,C Box,PMCBLUWAF400B,CORNER 400MM KRAZE-BIG FITMENT,PCS,0,0
571DB94B-0A0B-4AEA-BFC8-0DA0DC05C59A,PM,Packaging Materials,C Box,PMCBPDF400MM,CORNER 400MM PEDESTAL FAN-BASE FITMENT,PCS,0,0
77C26AB6-6120-417F-9869-018D66E972A7,PM,Packaging Materials,C Box,PMCBCF300C,CORNER EXHAUST FAN 300MM CABIN FAN,PCS,0,0
85A89788-A548-4DE2-9A55-27CBA97B2F66,PM,Packaging Materials,C Box,PMCBFNVENOU250MM,FINOLEX C-BOX  VENTILATOR 250MM OUTER 4X1,PCS,0,0
A0546AA3-7A21-4F3F-B9B3-DBD218EF89D6,PM,Packaging Materials,C Box,PMCBFNGLIN230MM,FINOLEX C-BOX GLADIATOR 230MM INNER 1X1,PCS,0,0
88DC4EF7-64F0-4EE1-B225-110DD5BDF7D3,PM,Packaging Materials,C Box,PMCBFNGLOU230MM,FINOLEX C-BOX GLADIATOR 230MM OUTER 4X1,PCS,0,0
4A509944-9CC3-461A-8AF6-AD771C4E63E1,PM,Packaging Materials,C Box,PMCBFNGLIN300MM,FINOLEX C-BOX GLADIATOR 300MM INNER 1X1,PCS,0,0
78D45F12-5C5C-4BF0-808F-ADFAABCD01BB,PM,Packaging Materials,C Box,PMCBFNGLOU300MM,FINOLEX C-BOX GLADIATOR 300MM OUTER 4X1,PCS,0,0
59C1B301-A12D-4DDC-A907-3621F0EAF623,PM,Packaging Materials,C Box,PMCBFNHSSIN230MM,FINOLEX C-BOX HI-SPEED SMASH 230MM INNER 1X1,PCS,0,0
8F463689-95A9-440F-B6AB-B14EB3B4A3EE,PM,Packaging Materials,C Box,PMCBFNHSSOU230MM,FINOLEX C-BOX HI-SPEED SMASH 230MM OUTER 4X1,PCS,0,0
60C2FE3B-A09F-4426-A91F-A2C3B3A04BCA,PM,Packaging Materials,C Box,PMCBFNHBIN230MM,FINOLEX C-BOX HUMING BIRD 230MM INNER 1X1,PCS,0,0
7377C4F2-C45F-4437-BB28-AE92422A86CC,PM,Packaging Materials,C Box,PMCBFNHBOU230MM,FINOLEX C-BOX HUMING BIRD 230MM OUTER 4X1,PCS,0,0
CB3981A7-87CF-4698-B9C9-6C5ABDCE1DF9,PM,Packaging Materials,C Box,PMCBFNSMIN230MM,FINOLEX C-BOX SMASH 230MM INNER 1X1,PCS,0,0
98D183C1-1277-4B1B-8FC1-DD95DA16DC47,PM,Packaging Materials,C Box,PMCBFNSMOU230MM,FINOLEX C-BOX SMASH 230MM OUTER 4X1,PCS,0,0
6B2C3681-D053-4692-85A2-2A6E00463867,PM,Packaging Materials,C Box,PMCBFNSMIN300MM,FINOLEX C-BOX SMASH 300MM INNER 1X1,PCS,0,0
BF1FFEE4-D5B1-44B9-9B17-A0AE63A1258D,PM,Packaging Materials,C Box,PMCBFNSMOU300MM,FINOLEX C-BOX SMASH 300MM OUTER 4X1,PCS,0,0
CBC99056-8EBF-4392-8C11-0C6CCE4A27C4,PM,Packaging Materials,C Box,PMCBFNVENOU200MM,FINOLEX C-BOX VENTILATOR  200MM OUTER 4X1,PCS,0,0
C7C33DB1-3D82-4E9D-890C-DC25586FD8BC,PM,Packaging Materials,C Box,PMCBFNVENIN150MM,FINOLEX C-BOX VENTILATOR 150MM INNER 1X1,PCS,0,0
AA00F7B4-6DC0-4E59-876B-D9E20243E656,PM,Packaging Materials,C Box,PMCBFNVENOU150MM,FINOLEX C-BOX VENTILATOR 150MM OUTER 6X1,PCS,0,0
B8BBFDF0-28EB-4C75-B6FF-504DC2BBB7AE,PM,Packaging Materials,C Box,PMCBFNVENIN200MM,FINOLEX C-BOX VENTILATOR 200MM INNER 1X1,PCS,0,0
182DF20C-6697-4773-A193-508B69E1BB21,PM,Packaging Materials,C Box,PMCBFNVENIN250MM,FINOLEX C-BOX VENTILATOR 250MM INNER 1X1,PCS,0,0
AF6BEDD8-C8E8-4BE5-99EB-BBD3D569CF1B,PM,Packaging Materials,C Box,PMCBGMBLIN230MM,GM C-BOX BLIZZARD 230MM INNER 1X1,PCS,0,0
9C556675-68D8-4E19-B5F1-B8E3F1053E90,PM,Packaging Materials,C Box,PMCBGMBLOU230MM,GM C-BOX BLIZZARD 230MM OUTER 4X1,PCS,0,0
F3359F52-D74C-4C48-9781-4E780CEBB7A6,PM,Packaging Materials,C Box,PMCBGMHSZIN150MM,GM C-BOX HI-SPEED ZENIX PLUS 150MM INNER 1X1,PCS,0,0
F77C4FA0-9232-4F69-845A-08E889B780EF,PM,Packaging Materials,C Box,PMCBGMHSZOU150MM,GM C-BOX HI-SPEED ZENIX PLUS 150MM OUTER 6X1,PCS,0,0
36CA2080-A25D-4845-A9D5-66DCFA1E941F,PM,Packaging Materials,C Box,PMCBGMHSZIN230MM,GM C-BOX HI-SPEED ZENIX PLUS 230MM INNER 1X1,PCS,0,0
AF4E1CA9-CE66-4A66-8471-A2C6078C7DF4,PM,Packaging Materials,C Box,PMCBGMHSZOU230MM,GM C-BOX HI-SPEED ZENIX PLUS 230MM OUTER 4X1,PCS,0,0
3EF4837C-11A8-4C56-93D6-FDA12B5AE3A6,PM,Packaging Materials,C Box,PMCBGMHSZ150MM,GM C-BOX ZENIX 150MM INNER 1X1,PCS,0,0
BE7BB8F4-F090-4766-9EB9-9FE9F183429F,PM,Packaging Materials,C Box,PMCBGMIN230MM,GM C-BOX ZENIX PLUS 230MM INNER 1X1,PCS,0,0
A68ACA96-3556-496A-B6CE-35A83F0D9EA6,PM,Packaging Materials,C Box,PMCBGMOU230MM,GM C-BOX ZENIX PLUS 230MM OUTER 4X1,PCS,0,0
22C9E0B3-0889-4609-A22A-EB59993A02A1,PM,Packaging Materials,C Box,PMCBGMIN300MM,GM C-BOX ZENIX PLUS 300MM INNER 1X1,PCS,0,0
598B7545-3D43-4A45-AEDF-F4E8BB57351D,PM,Packaging Materials,C Box,PMCBGMOU300MM,GM C-BOX ZENIX PLUS 300MM OUTER 4X1,PCS,0,0
94CD0E17-4D0F-4874-B68D-8BC02DF9BCE0,PM,Packaging Materials,C Box,PMCBGOOU300,GOLD MEDAL C-BOX CABIN FAN 300 MM OUTER - 4X1,PCS,0,0
3432E0A9-E981-4D14-940E-A1AD09E0E051,PM,Packaging Materials,C Box,PMCBGOCF300,GOLD MEDAL C-BOX CABIN FAN 300MM INNER 1X1,PCS,0,0
47F6FF2E-CF43-4D1A-97B9-D9938B9544FA,PM,Packaging Materials,C Box,PMCBGOGFIN100MM,GOLD MEDAL C-BOX GLASS FAN 100MM INNER 1X1,PCS,0,0
A9DC7916-A24C-48E3-B16C-0700718EC98E,PM,Packaging Materials,C Box,PMCBGOGFOU100MM,GOLD MEDAL C-BOX GLASS FAN 100MM OUTER 12X1,PCS,0,0
F09C2676-7467-4BE9-82DB-7C99FA0BD3AA,PM,Packaging Materials,C Box,PMCBGOGFIN150MM,GOLD MEDAL C-BOX GLASS FAN 150MM INNER 1X1,PCS,0,0
9AC191F4-457E-48F5-A751-4C19327C1CBD,PM,Packaging Materials,C Box,PMCBGOGFOU150MM,GOLD MEDAL C-BOX GLASS FAN 150MM OUTER 1X1,PCS,0,0
A45F9D48-A6D0-46B1-97CD-90830D082CD3,PM,Packaging Materials,C Box,PMCBGOTRIN230MM,GOLD MEDAL C-BOX TRISTAR 230MM INNER 1X1,PCS,0,0
C65D23BC-F3F9-48DA-A39A-01D88403FB13,PM,Packaging Materials,C Box,PMCBGOTROU230MM,GOLD MEDAL C-BOX TRISTAR 230MM OUTER 4X1,PCS,0,0
ADA8879F-DC9A-4A99-B76F-CCF61C24C91B,PM,Packaging Materials,C Box,PMCBGOVENIN150MM,GOLD MEDAL C-BOX VENTILATOR 150MM INNER 1X1,PCS,0,0
D40621F6-4256-4483-8F09-13E93E073A7E,PM,Packaging Materials,C Box,PMCBGOVENOU150MM,GOLD MEDAL C-BOX VENTILATOR 150MM OUTER 6X1,PCS,0,0
91E25B8D-15D1-4B16-88DD-0A274412E4A4,PM,Packaging Materials,C Box,PMCBGOVENIN200MM,GOLD MEDAL C-BOX VENTILATOR 200MM INNER 1X1,PCS,0,0
366DAA10-802A-4823-B18B-AEF377401D94,PM,Packaging Materials,C Box,PMCBGOVENOU200MM,GOLD MEDAL C-BOX VENTILATOR 200MM OUTER 4X1,PCS,0,0
8952576D-1AC4-4C1E-8A8C-FC148542ED2B,PM,Packaging Materials,C Box,PMCBGOVENIN250MM,GOLD MEDAL C-BOX VENTILATOR 250MM INNER 1X1,PCS,0,0
5F140364-22A1-422A-918A-6A47AF5F8112,PM,Packaging Materials,C Box,PMCBGOVENOU250MM,GOLD MEDAL C-BOX VENTILATOR 250MM OUTER 4X1,PCS,0,0
6E9CF2B5-8E0B-4008-8631-69739F1D52E1,PM,Packaging Materials,C Box,PMCBSTCAFIN150MM,HAVELLA C-BOX STANDARD CATA FAN 150MM INNER1X1,PCS,0,0
BBC13C24-0577-4B4B-A330-CC7714C48E14,PM,Packaging Materials,C Box,PMCBHAFF500MM FP,HAVELLS 500MM FARRATA FAN MOTOR INNER PACKING BOX,PCS,0,0
E3EFF083-093D-4F25-BA1F-AB7527CB7883,PM,Packaging Materials,C Box,PMCBHABFIN230MM,HAVELLS C-BOX BIRDIE 230MM INNER 1X1,PCS,0,0
F08B2679-D338-4DA1-A7F5-82A500947884,PM,Packaging Materials,C Box,PMCBHABFOU230MM,HAVELLS C-BOX BIRDIE 230MM OUTER 4X1,PCS,0,0
DDD485D3-835F-4493-8D84-511957ADFBF6,PM,Packaging Materials,C Box,PMCBHADSIN230MM,HAVELLS C-BOX DS 230MM INNER 1X1,PCS,0,0
FFDD4BD8-DCA9-4D85-ADB7-4B5562B7F4AB,PM,Packaging Materials,C Box,PMCBHADSOU230MM,HAVELLS C-BOX DS 230MM OUTER 4X1,PCS,0,0
AB3560A2-28F0-456A-B6FF-BF6A4BF7F242,PM,Packaging Materials,C Box,PMCBHADSIN300MM,HAVELLS C-BOX DS 300MM INNER 1X1,PCS,0,0
E733D1F0-B52B-465B-83D8-13927A35DE29,PM,Packaging Materials,C Box,PMCBHADSOU300MM,HAVELLS C-BOX DS 300MM OUTER 4X1,PCS,0,0
963B6CE0-3367-4041-94E7-B06685EF25DC,PM,Packaging Materials,C Box,PMCBHADSPIN230MM,HAVELLS C-BOX DSP 230MM INNER 1X1,PCS,0,0
936ADC6D-DBE1-4188-93AA-FB41C034CC5D,PM,Packaging Materials,C Box,PMCBHADSPOU230MM,HAVELLS C-BOX DSP 230MM OUTER 4X1,PCS,0,0
457F0C66-FC9C-45F4-886A-99ED3DD4377A,PM,Packaging Materials,C Box,PMCBHADSPIN300MM,HAVELLS C-BOX DSP 300MM INNER 1X1,PCS,0,0
D215F140-D7B3-41EF-8EC8-A0F7305DD44E,PM,Packaging Materials,C Box,PMCBHADSPOU300MM,HAVELLS C-BOX DSP 300MM OUTER 4X1,PCS,0,0
42CFE996-9731-4256-90C1-1D7C1435C5F9,PM,Packaging Materials,C Box,PMCBHAGFIN100MM,HAVELLS C-BOX GLASS FAN DXZ 100MM INNER 1X1,PCS,0,0
7597A435-BCE8-42D1-AE07-8D8E8858AAB8,PM,Packaging Materials,C Box,PMCBHAGFOU100MM,HAVELLS C-BOX GLASS FAN DXZ 100MM OUTER 12X1,PCS,0,0
323415B2-B4D7-4336-A623-841D33CA6594,PM,Packaging Materials,C Box,PMCBHAGFIN150MM,HAVELLS C-BOX GLASS FAN DXZ 150MM INNER 1X1,PCS,0,0
A9FFE817-EB0A-4AA8-BEE5-DA723116ACCB,PM,Packaging Materials,C Box,PMCBHAGFOU150MM,HAVELLS C-BOX GLASS FAN DXZ 150MM OUTER 8X1,PCS,0,0
71257800-D3F1-461C-8610-E546BB6E46D3,PM,Packaging Materials,C Box,PMCBHAPFIN230MM,HAVELLS C-BOX PLUTO NEO 230MM INNER 1X1,PCS,0,0
736382B7-6C5A-4725-85F4-FA3B5D69A65A,PM,Packaging Materials,C Box,PMCBHAPFOU230MM,HAVELLS C-BOX PLUTO NEO 230MM OUTER 4X1,PCS,0,0
E8907898-7849-4B85-870B-E2CCD2FA0B39,PM,Packaging Materials,C Box,PMCBHAOU1506X1,HAVELLS C-BOX STANDARD 150MM OUETR 6X1,PCS,0,0
0F10A25C-DBAB-48CB-A2FA-2505585652D9,PM,Packaging Materials,C Box,PMCBSTCAFIN100MM,HAVELLS C-BOX STANDARD CATA FAN 100MM INNER 1X1,PCS,0,0
AAFE17F4-634C-40EB-905B-A571756D493D,PM,Packaging Materials,C Box,PMCBSTCAFOU100MM,HAVELLS C-BOX STANDARD CATA FAN 100MM OUTER 4X1,PCS,0,0
EBDDFBBC-B776-4858-B484-5F9F68EAE1ED,PM,Packaging Materials,C Box,PMCBSTCAFOU150MM,HAVELLS C-BOX STANDARD CATA FAN 150MM OUTER 8X1,PCS,0,0
346CEB97-4727-43B2-A2ED-1CE99C45C7CF,PM,Packaging Materials,C Box,PMCBSTDBBIN230MM,HAVELLS C-BOX STANDARD DBB 230MM INNER 1X1,PCS,0,0
58F0B9E3-EC26-41ED-8ECD-D6FE4E2B3C1A,PM,Packaging Materials,C Box,PMCBSTDBBOU230MM,HAVELLS C-BOX STANDARD DBB 230MM OUTER  4X1,PCS,0,0
9902E8BF-9FE8-455F-AA02-DF483D982D9B,PM,Packaging Materials,C Box,PMCBSTDBBIN300MM,HAVELLS C-BOX STANDARD DBB 300MM INNER 1X1,PCS,0,0
E60076E6-F6F5-4568-8996-6095CDBBF149,PM,Packaging Materials,C Box,PMCBSTDBBOU300MM,HAVELLS C-BOX STANDARD DBB 300MM OUTER 4X1,PCS,0,0
590850D8-B067-42DA-BDFD-EA7AEC491538,PM,Packaging Materials,C Box,PMCBSTFFIN500MM,HAVELLS C-BOX STANDARD FARATA FAN 500MM INNER 1X1,PCS,0,0
239D8DED-7029-4F74-8CD3-9B5B5ABBF052,PM,Packaging Materials,C Box,PMCBSTGFIN100MM,HAVELLS C-BOX STANDARD GLASS FAN WINDOW 100MM INNER 1X1,PCS,0,0
5CDB3209-17D7-422F-8AA1-168C8FE5A9DF,PM,Packaging Materials,C Box,PMCBSTGFOU100MM,HAVELLS C-BOX STANDARD GLASS FAN WINDOW 100MM OUTER 12X1,PCS,0,0
D8404DF8-DB6D-433E-B80D-8663DB05BA29,PM,Packaging Materials,C Box,PMCBSTGFIN150MM,HAVELLS C-BOX STANDARD GLASS FAN WINDOW 150MM INNER 1X1,PCS,0,0
E8A32D7E-8F0E-42F6-98E3-0E93879D46CF,PM,Packaging Materials,C Box,PMCBSTWGFOU150MM,HAVELLS C-BOX STANDARD GLASS FAN WINDOW 150MM OUTER 8X1,PCS,0,0
D153B44B-296F-41A8-B097-272B1B0FC95C,PM,Packaging Materials,C Box,PMCBSTVENIN150MM,HAVELLS C-BOX STANDARD VENTILATOR 150MM INNER 1X1,PCS,0,0
663B6E27-0FA9-47D0-B95C-0CDE1C0DF575,PM,Packaging Materials,C Box,PMCBSTVENOU150MM,HAVELLS C-BOX STANDARD VENTILATOR 150MM OUTER 6X1,PCS,0,0
84822613-524B-41AF-B4F1-E956A891469E,PM,Packaging Materials,C Box,PMCBSTVENIN200MM,HAVELLS C-BOX STANDARD VENTILATOR 200MM INNER  1X1,PCS,0,0
53D476AD-14CE-4D0A-873A-0EE6F8F058B9,PM,Packaging Materials,C Box,PMCBSTVENOU200MM,HAVELLS C-BOX STANDARD VENTILATOR 200MM OUTER 4X1,PCS,0,0
842D8DB0-2041-4055-858C-AAF19D0C3397,PM,Packaging Materials,C Box,PMCBSTVENIN250MM,HAVELLS C-BOX STANDARD VENTILATOR 250MM INNER 1X1,PCS,0,0
F3ED14C3-E38C-48DF-8BDE-2CF925E1743C,PM,Packaging Materials,C Box,PMCBSTVENOU250MM,HAVELLS C-BOX STANDARD VENTILATOR 250MM OUTER 4X1,PCS,0,0
714FF638-6B4F-4D5D-8121-1F56643F1E10,PM,Packaging Materials,C Box,PMCBHAVEN150MM1X1,HAVELLS C-BOX VENTILATOR 150MM INNER 1X1,PCS,0,0
02EDAE0F-3B95-4246-972C-F3EF7698499A,PM,Packaging Materials,C Box,PMCBHAVEN200MM1X1,HAVELLS C-BOX VENTILATOR 200MM INNER 1X1,PCS,0,0
